id,word
1,unknown
2,unknown
3,stop
4,down
5,unknown
6,up
7,on
8,unknown
9,unknown
10,unknown
11,unknown
12,unknown
13,right
14,unknown
15,down
16,unknown
17,unknown
18,unknown
19,unknown
20,up
21,unknown
22,unknown
23,down
24,unknown
25,unknown
26,unknown
27,unknown
28,unknown
29,left
30,right
31,unknown
32,unknown
33,unknown
34,yes
35,unknown
36,unknown
37,unknown
38,unknown
39,yes
40,on
41,off
42,up
43,go
44,unknown
45,left
46,unknown
47,unknown
48,unknown
49,up
50,unknown
51,unknown
52,unknown
53,left
54,up
55,go
56,unknown
57,yes
58,unknown
59,unknown
60,unknown
61,unknown
62,unknown
63,unknown
64,down
65,yes
66,unknown
67,unknown
68,unknown
69,unknown
70,no
71,unknown
72,unknown
73,unknown
74,unknown
75,unknown
76,unknown
77,right
78,unknown
79,unknown
80,unknown
81,down
82,unknown
83,up
84,unknown
85,yes
86,stop
87,unknown
88,unknown
89,unknown
90,unknown
91,unknown
92,down
93,unknown
94,unknown
95,unknown
96,unknown
97,unknown
98,unknown
99,up
100,stop
101,go
102,unknown
103,unknown
104,down
105,left
106,unknown
107,up
108,unknown
109,unknown
110,down
111,unknown
112,unknown
113,right
114,unknown
115,left
116,unknown
117,up
118,off
119,unknown
120,unknown
121,unknown
122,unknown
123,unknown
124,right
125,unknown
126,unknown
127,no
128,off
129,left
130,unknown
131,unknown
132,unknown
133,no
134,unknown
135,unknown
136,unknown
137,unknown
138,off
139,unknown
140,unknown
141,unknown
142,unknown
143,stop
144,unknown
145,on
146,on
147,right
148,unknown
149,unknown
150,unknown
151,unknown
152,unknown
153,on
154,unknown
155,unknown
156,unknown
157,unknown
158,left
159,unknown
160,no
161,unknown
162,unknown
163,unknown
164,unknown
165,unknown
166,unknown
167,on
168,unknown
169,unknown
170,unknown
171,left
172,unknown
173,unknown
174,unknown
175,unknown
176,unknown
177,unknown
178,unknown
179,unknown
180,unknown
181,yes
182,go
183,unknown
184,unknown
185,unknown
186,unknown
187,unknown
188,unknown
189,unknown
190,on
191,on
192,unknown
193,unknown
194,right
195,unknown
196,down
197,unknown
198,unknown
199,unknown
200,unknown
201,right
202,stop
203,unknown
204,unknown
205,unknown
206,unknown
207,unknown
208,unknown
209,unknown
210,unknown
211,right
212,on
213,unknown
214,left
215,unknown
216,stop
217,unknown
218,stop
219,unknown
220,go
221,left
222,unknown
223,unknown
224,unknown
225,unknown
226,no
227,no
228,on
229,unknown
230,unknown
231,unknown
232,unknown
233,on
234,unknown
235,right
236,go
237,unknown
238,unknown
239,unknown
240,unknown
241,go
242,no
243,no
244,unknown
245,unknown
246,unknown
247,unknown
248,unknown
249,unknown
250,unknown
251,unknown
252,down
253,unknown
254,unknown
255,unknown
256,on
257,unknown
258,unknown
259,unknown
260,unknown
261,no
262,left
263,unknown
264,unknown
265,unknown
266,unknown
267,on
268,on
269,yes
270,unknown
271,unknown
272,unknown
273,unknown
274,unknown
275,unknown
276,unknown
277,unknown
278,unknown
279,unknown
280,unknown
281,unknown
282,unknown
283,down
284,unknown
285,unknown
286,go
287,unknown
288,unknown
289,unknown
290,right
291,yes
292,unknown
293,unknown
294,unknown
295,down
296,no
297,on
298,unknown
299,unknown
300,unknown
301,unknown
302,unknown
303,unknown
304,unknown
305,unknown
306,unknown
307,off
308,down
309,unknown
310,unknown
311,unknown
312,unknown
313,no
314,unknown
315,yes
316,unknown
317,up
318,unknown
319,unknown
320,unknown
321,unknown
322,on
323,up
324,on
325,unknown
326,unknown
327,unknown
328,unknown
329,unknown
330,unknown
331,unknown
332,down
333,unknown
334,unknown
335,unknown
336,unknown
337,unknown
338,unknown
339,unknown
340,no
341,unknown
342,unknown
343,unknown
344,stop
345,unknown
346,unknown
347,go
348,unknown
349,no
350,unknown
351,no
352,go
353,unknown
354,unknown
355,yes
356,unknown
357,unknown
358,unknown
359,unknown
360,left
361,unknown
362,unknown
363,unknown
364,unknown
365,unknown
366,unknown
367,unknown
368,no
369,unknown
370,off
371,go
372,left
373,unknown
374,unknown
375,unknown
376,unknown
377,up
378,unknown
379,unknown
380,unknown
381,unknown
382,unknown
383,unknown
384,unknown
385,right
386,unknown
387,off
388,left
389,on
390,unknown
391,unknown
392,unknown
393,unknown
394,unknown
395,down
396,unknown
397,unknown
398,unknown
399,stop
400,right
401,unknown
402,unknown
403,unknown
404,unknown
405,unknown
406,up
407,unknown
408,unknown
409,unknown
410,unknown
411,unknown
412,yes
413,unknown
414,yes
415,unknown
416,off
417,left
418,off
419,off
420,left
421,down
422,unknown
423,unknown
424,stop
425,left
426,up
427,unknown
428,off
429,unknown
430,go
431,down
432,unknown
433,unknown
434,stop
435,yes
436,unknown
437,no
438,unknown
439,unknown
440,up
441,left
442,unknown
443,unknown
444,unknown
445,down
446,unknown
447,unknown
448,unknown
449,down
450,unknown
451,unknown
452,down
453,unknown
454,unknown
455,unknown
456,down
457,unknown
458,go
459,unknown
460,on
461,unknown
462,unknown
463,unknown
464,no
465,yes
466,unknown
467,unknown
468,unknown
469,up
470,up
471,yes
472,stop
473,on
474,unknown
475,unknown
476,unknown
477,go
478,yes
479,unknown
480,unknown
481,unknown
482,go
483,unknown
484,unknown
485,unknown
486,left
487,on
488,unknown
489,unknown
490,stop
491,left
492,no
493,unknown
494,right
495,unknown
496,unknown
497,unknown
498,unknown
499,unknown
500,unknown
501,unknown
502,unknown
503,unknown
504,right
505,no
506,unknown
507,unknown
508,unknown
509,unknown
510,unknown
511,unknown
512,unknown
513,unknown
514,unknown
515,yes
516,unknown
517,left
518,unknown
519,right
520,yes
521,unknown
522,unknown
523,unknown
524,unknown
525,unknown
526,no
527,up
528,no
529,unknown
530,unknown
531,no
532,unknown
533,unknown
534,unknown
535,unknown
536,unknown
537,unknown
538,unknown
539,unknown
540,unknown
541,unknown
542,on
543,unknown
544,unknown
545,unknown
546,unknown
547,unknown
548,stop
549,unknown
550,right
551,unknown
552,unknown
553,left
554,off
555,unknown
556,unknown
557,up
558,unknown
559,unknown
560,unknown
561,unknown
562,unknown
563,down
564,unknown
565,unknown
566,unknown
567,unknown
568,unknown
569,unknown
570,unknown
571,off
572,unknown
573,unknown
574,unknown
575,no
576,unknown
